Date,Close
"September 1, 2019",37.25
"October 1, 2019",42.5
"November 1, 2019",41
"December 1, 2019",40.5
"January 1, 2020",44.25
"February 1, 2020",41.75
"March 1, 2020",35.75
"April 1, 2020",41.5
"May 1, 2020",42.5
"June 1, 2020",38
"July 1, 2020",42.5
"August 1, 2020",38.75
"September 1, 2020",35
"October 1, 2020",32
"November 1, 2020",36.5
"December 1, 2020",35.5
"January 1, 2021",35.75
"February 1, 2021",34.75
"March 1, 2021",35.25
"April 1, 2021",35.75
"May 1, 2021",37
"June 1, 2021",37.75
"July 1, 2021",35.25
"August 1, 2021",36.5
"September 1, 2021",34
"October 1, 2021",32.75
"November 1, 2021",32
"December 1, 2021",34.25
"January 1, 2022",32.25
"February 1, 2022",35.25
"March 1, 2022",37.5
"April 1, 2022",35
"May 1, 2022",34.75
"June 1, 2022",34.25
"July 1, 2022",31.25
"August 1, 2022",31.25
"September 1, 2022",27.25
"October 1, 2022",26.5
"November 1, 2022",28.25
"December 1, 2022",28.25
"January 1, 2023",28
"February 1, 2023",32.25
"March 1, 2023",30.75
"April 1, 2023",29.5
"May 1, 2023",29
"June 1, 2023",29.75
"July 1, 2023",29.25
"August 1, 2023",30
"September 1, 2023",25
