Date,Close
"September 1, 2019",1.57
"October 1, 2019",1.44
"November 1, 2019",1.6
"December 1, 2019",1.68
"January 1, 2020",1.41
"February 1, 2020",1.09
"March 1, 2020",0.88
"April 1, 2020",0.96
"May 1, 2020",1.15
"June 1, 2020",1.05
"July 1, 2020",0.95
"August 1, 2020",0.94
"September 1, 2020",0.89
"October 1, 2020",0.81
"November 1, 2020",1.05
"December 1, 2020",1.08
"January 1, 2021",1.1
"February 1, 2021",1.13
"March 1, 2021",1.23
"April 1, 2021",1.17
"May 1, 2021",1.12
"June 1, 2021",1.12
"July 1, 2021",0.97
"August 1, 2021",1.07
"September 1, 2021",1.11
"October 1, 2021",1.16
"November 1, 2021",1.19
"December 1, 2021",1.47
"January 1, 2022",1.36
"February 1, 2022",1.37
"March 1, 2022",1.32
"April 1, 2022",1.3
"May 1, 2022",1.27
"June 1, 2022",1.23
"July 1, 2022",1.2
"August 1, 2022",1.27
"September 1, 2022",1.21
"October 1, 2022",1.36
"November 1, 2022",1.4
"December 1, 2022",1.41
"January 1, 2023",1.47
"February 1, 2023",1.4
"March 1, 2023",1.42
"April 1, 2023",1.45
"May 1, 2023",1.58
"June 1, 2023",1.55
"July 1, 2023",1.72
"August 1, 2023",1.71
"September 1, 2023",1.72
