Date,Close
"January 1, 2024",""
"January 2, 2024",9.3284
"January 3, 2024",9.296
"January 4, 2024",9.3508
"January 5, 2024",9.3255
"January 6, 2024",""
"January 7, 2024",""
"January 8, 2024",9.2729
"January 9, 2024",9.2227
"January 10, 2024",9.2363
"January 11, 2024",9.1952
"January 12, 2024",9.2555
"January 13, 2024",""
"January 14, 2024",""
"January 15, 2024",9.2077
"January 16, 2024",9.1856
"January 17, 2024",9.0349
"January 18, 2024",9.0296
"January 19, 2024",9.0795
"January 20, 2024",""
"January 21, 2024",""
"January 22, 2024",8.996
"January 23, 2024",8.8932
"January 24, 2024",9.072
"January 25, 2024",9.0702
"January 26, 2024",9.0192
"January 27, 2024",""
"January 28, 2024",""
"January 29, 2024",9.1115
"January 30, 2024",9.0792
"January 31, 2024",9.0599
"February 1, 2024",9.087
"February 2, 2024",9.2285
"February 3, 2024",""
"February 4, 2024",""
"February 5, 2024",9.238
"February 6, 2024",9.3268
"February 7, 2024",9.3505
"February 8, 2024",9.2495
"February 9, 2024",9.2343
"February 10, 2024",""
"February 11, 2024",""
"February 12, 2024",9.2365
"February 13, 2024",9.256
"February 14, 2024",9.258
"February 15, 2024",9.3139
"February 16, 2024",9.3215
"February 17, 2024",""
"February 18, 2024",""
"February 19, 2024",9.3486
"February 20, 2024",9.3464
