Date,Close
"September 1, 2019",220
"October 1, 2019",229
"November 1, 2019",212
"December 1, 2019",213
"January 1, 2020",204
"February 1, 2020",200
"March 1, 2020",201
"April 1, 2020",198
"May 1, 2020",192.5
"June 1, 2020",185
"July 1, 2020",185
"August 1, 2020",183
"September 1, 2020",171
"October 1, 2020",172.5
"November 1, 2020",175.5
"December 1, 2020",176
"January 1, 2021",172
"February 1, 2021",165.5
"March 1, 2021",173.5
"April 1, 2021",171
"May 1, 2021",168.5
"June 1, 2021",171
"July 1, 2021",179.5
"August 1, 2021",188
"September 1, 2021",196
"October 1, 2021",189
"November 1, 2021",206
"December 1, 2021",230
"January 1, 2022",220
"February 1, 2022",229
"March 1, 2022",233
"April 1, 2022",215
"May 1, 2022",217
"June 1, 2022",194.5
"July 1, 2022",201
"August 1, 2022",192
"September 1, 2022",195
"October 1, 2022",191
"November 1, 2022",189
"December 1, 2022",195
"January 1, 2023",195
"February 1, 2023",202
"March 1, 2023",212
"April 1, 2023",214
"May 1, 2023",211
"June 1, 2023",214
"July 1, 2023",226
"August 1, 2023",216
"September 1, 2023",228
