Date,Close
"September 1, 2019",81.25
"October 1, 2019",78
"November 1, 2019",76
"December 1, 2019",72.25
"January 1, 2020",70.75
"February 1, 2020",65.75
"March 1, 2020",61
"April 1, 2020",71
"May 1, 2020",70.5
"June 1, 2020",67.75
"July 1, 2020",68.25
"August 1, 2020",63.5
"September 1, 2020",60.25
"October 1, 2020",53.75
"November 1, 2020",60.5
"December 1, 2020",58.25
"January 1, 2021",57.25
"February 1, 2021",59.5
"March 1, 2021",69.25
"April 1, 2021",62.5
"May 1, 2021",60.75
"June 1, 2021",60
"July 1, 2021",59
"August 1, 2021",65
"September 1, 2021",63.5
"October 1, 2021",64
"November 1, 2021",58.5
"December 1, 2021",59
"January 1, 2022",62.75
"February 1, 2022",68
"March 1, 2022",65
"April 1, 2022",65
"May 1, 2022",66.25
"June 1, 2022",60
"July 1, 2022",61.25
"August 1, 2022",61.5
"September 1, 2022",56.25
"October 1, 2022",60
"November 1, 2022",65
"December 1, 2022",68.25
"January 1, 2023",66.5
"February 1, 2023",62
"March 1, 2023",62
"April 1, 2023",64.75
"May 1, 2023",63.75
"June 1, 2023",62.5
"July 1, 2023",63.5
"August 1, 2023",65.25
"September 1, 2023",60.5
