Date,Close
"September 1, 2019",17.2
"October 1, 2019",16.6
"November 1, 2019",16.4
"December 1, 2019",16.4
"January 1, 2020",16.1
"February 1, 2020",14
"March 1, 2020",11.4
"April 1, 2020",11
"May 1, 2020",10.4
"June 1, 2020",10.3
"July 1, 2020",9.85
"August 1, 2020",9.55
"September 1, 2020",8.85
"October 1, 2020",8.65
"November 1, 2020",10.7
"December 1, 2020",11.1
"January 1, 2021",11.5
"February 1, 2021",12
"March 1, 2021",12.2
"April 1, 2021",11.3
"May 1, 2021",10.9
"June 1, 2021",10.7
"July 1, 2021",10.1
"August 1, 2021",11.2
"September 1, 2021",11
"October 1, 2021",11.5
"November 1, 2021",11.3
"December 1, 2021",13.2
"January 1, 2022",14
"February 1, 2022",14
"March 1, 2022",13.8
"April 1, 2022",15.2
"May 1, 2022",15.1
"June 1, 2022",15.5
"July 1, 2022",15.9
"August 1, 2022",16.9
"September 1, 2022",16.7
"October 1, 2022",17.5
"November 1, 2022",17.6
"December 1, 2022",17.7
"January 1, 2023",17.5
"February 1, 2023",17.3
"March 1, 2023",16.5
"April 1, 2023",18
"May 1, 2023",19
"June 1, 2023",19.4
"July 1, 2023",20.5
"August 1, 2023",19.3
"September 1, 2023",19
