Date,Close
"September 1, 2019",121
"October 1, 2019",120.5
"November 1, 2019",120
"December 1, 2019",124.5
"January 1, 2020",124.5
"February 1, 2020",106
"March 1, 2020",67.5
"April 1, 2020",84.5
"May 1, 2020",84
"June 1, 2020",91.75
"July 1, 2020",91
"August 1, 2020",89
"September 1, 2020",79
"October 1, 2020",78.75
"November 1, 2020",96.75
"December 1, 2020",98.25
"January 1, 2021",103.5
"February 1, 2021",115
"March 1, 2021",114
"April 1, 2021",119
"May 1, 2021",118.5
"June 1, 2021",117
"July 1, 2021",103
"August 1, 2021",111.5
"September 1, 2021",117.5
"October 1, 2021",117.5
"November 1, 2021",113.5
"December 1, 2021",118
"January 1, 2022",129.5
"February 1, 2022",136.5
"March 1, 2022",144
"April 1, 2022",151
"May 1, 2022",169.5
"June 1, 2022",159.5
"July 1, 2022",162.5
"August 1, 2022",168.5
"September 1, 2022",160.5
"October 1, 2022",181.5
"November 1, 2022",188
"December 1, 2022",176.5
"January 1, 2023",171.5
"February 1, 2023",150
"March 1, 2023",150.5
"April 1, 2023",148
"May 1, 2023",139.5
"June 1, 2023",150
"July 1, 2023",159.5
"August 1, 2023",158.5
"September 1, 2023",171
