Date,Close
"January 3, 2024",45
"January 4, 2024",46.25
"January 5, 2024",46
"January 8, 2024",45.5
"January 9, 2024",44.75
"January 10, 2024",43.5
"January 11, 2024",43
"January 12, 2024",43
"January 15, 2024",43
"January 16, 2024",42.5
"January 17, 2024",42.5
"January 18, 2024",42
"January 19, 2024",41.75
"January 22, 2024",41.5
"January 23, 2024",41.5
"January 24, 2024",42.5
"January 25, 2024",42.5
"January 26, 2024",42.5
"January 29, 2024",43.5
"January 30, 2024",43.25
"January 31, 2024",43.5
"February 1, 2024",42.75
"February 2, 2024",43.25
"February 5, 2024",43
"February 6, 2024",42.75
"February 7, 2024",42.5
"February 8, 2024",42.5
"February 9, 2024",42.5
"February 12, 2024",42.5
"February 13, 2024",42.5
"February 14, 2024",42.5
"February 15, 2024",42.25
"February 16, 2024",42
"February 19, 2024",42.25
"February 20, 2024",42.75
