Date,Close
"January 3, 2024",54
"January 4, 2024",52.75
"January 5, 2024",51
"January 8, 2024",51.75
"January 9, 2024",51.5
"January 10, 2024",51.5
"January 11, 2024",51.25
"January 12, 2024",52.25
"January 15, 2024",51.25
"January 16, 2024",50.5
"January 17, 2024",50.25
"January 18, 2024",48.75
"January 19, 2024",50
"January 22, 2024",49.25
"January 23, 2024",48
"January 24, 2024",48.5
"January 25, 2024",47.75
"January 26, 2024",46.5
"January 29, 2024",47.25
"January 30, 2024",48
"January 31, 2024",47.75
"February 1, 2024",47.5
"February 2, 2024",48.5
"February 5, 2024",50.25
"February 6, 2024",50.75
"February 7, 2024",50.25
"February 8, 2024",50
"February 9, 2024",49.75
"February 12, 2024",50.25
"February 13, 2024",49
"February 14, 2024",46.75
"February 15, 2024",47
"February 16, 2024",44.75
"February 19, 2024",45.25
"February 20, 2024",43.25
