Date,Close
"January 3, 2024",146
"January 4, 2024",149.5
"January 5, 2024",151
"January 8, 2024",149
"January 9, 2024",150
"January 10, 2024",148
"January 11, 2024",149
"January 12, 2024",150.5
"January 15, 2024",150
"January 16, 2024",150
"January 17, 2024",148
"January 18, 2024",146.5
"January 19, 2024",149.5
"January 22, 2024",148.5
"January 23, 2024",148
"January 24, 2024",149
"January 25, 2024",149.5
"January 26, 2024",149
"January 29, 2024",149.5
"January 30, 2024",146.5
"January 31, 2024",150
"February 1, 2024",150
"February 2, 2024",151.5
"February 5, 2024",152
"February 6, 2024",153
"February 7, 2024",153.5
"February 8, 2024",154.5
"February 9, 2024",154
"February 12, 2024",153
"February 13, 2024",154.5
"February 14, 2024",153.5
"February 15, 2024",152
"February 16, 2024",155
"February 19, 2024",150.5
"February 20, 2024",150.5
