Date,Close
"September 1, 2019",28.25
"October 1, 2019",25.5
"November 1, 2019",31.25
"December 1, 2019",34.5
"January 1, 2020",35.25
"February 1, 2020",33.5
"March 1, 2020",23
"April 1, 2020",29
"May 1, 2020",30
"June 1, 2020",27.75
"July 1, 2020",36.25
"August 1, 2020",39.75
"September 1, 2020",43.5
"October 1, 2020",45
"November 1, 2020",42.75
"December 1, 2020",39.75
"January 1, 2021",53.75
"February 1, 2021",50.25
"March 1, 2021",55.25
"April 1, 2021",55.5
"May 1, 2021",60.25
"June 1, 2021",71.25
"July 1, 2021",76.25
"August 1, 2021",70.5
"September 1, 2021",79
"October 1, 2021",80
"November 1, 2021",93.5
"December 1, 2021",88.5
"January 1, 2022",69.5
"February 1, 2022",51
"March 1, 2022",48.75
"April 1, 2022",45
"May 1, 2022",47
"June 1, 2022",40.75
"July 1, 2022",45.75
"August 1, 2022",42.75
"September 1, 2022",36.75
"October 1, 2022",34.75
"November 1, 2022",51.75
"December 1, 2022",51.5
"January 1, 2023",60.5
"February 1, 2023",57.75
"March 1, 2023",50.25
"April 1, 2023",41.5
"May 1, 2023",44
"June 1, 2023",47.25
"July 1, 2023",50.75
"August 1, 2023",62.25
"September 1, 2023",59.5
