Date,Close
"September 1, 2019",31.25
"October 1, 2019",28.75
"November 1, 2019",30.5
"December 1, 2019",26
"January 1, 2020",27.25
"February 1, 2020",25
"March 1, 2020",22.2
"April 1, 2020",29
"May 1, 2020",34.25
"June 1, 2020",37.25
"July 1, 2020",33.75
"August 1, 2020",37.75
"September 1, 2020",34.75
"October 1, 2020",34.75
"November 1, 2020",36.25
"December 1, 2020",35.75
"January 1, 2021",40.5
"February 1, 2021",39.75
"March 1, 2021",34.25
"April 1, 2021",34.75
"May 1, 2021",36.25
"June 1, 2021",38.25
"July 1, 2021",39.75
"August 1, 2021",49
"September 1, 2021",50
"October 1, 2021",46.5
"November 1, 2021",53
"December 1, 2021",50.5
"January 1, 2022",46.5
"February 1, 2022",43
"March 1, 2022",45.5
"April 1, 2022",49
"May 1, 2022",52
"June 1, 2022",50.5
"July 1, 2022",48.75
"August 1, 2022",49.25
"September 1, 2022",46.25
"October 1, 2022",44.25
"November 1, 2022",46.75
"December 1, 2022",46.75
"January 1, 2023",52.25
"February 1, 2023",46
"March 1, 2023",41.75
"April 1, 2023",41
"May 1, 2023",39
"June 1, 2023",37.5
"July 1, 2023",38.75
"August 1, 2023",43.75
"September 1, 2023",44.5
