Date,Close
"September 1, 2019",37.5
"October 1, 2019",36
"November 1, 2019",38.5
"December 1, 2019",36
"January 1, 2020",30.75
"February 1, 2020",27.088
"March 1, 2020",16.548
"April 1, 2020",20.784
"May 1, 2020",18.321
"June 1, 2020",20.3
"July 1, 2020",18.2
"August 1, 2020",22.4
"September 1, 2020",20
"October 1, 2020",16.7
"November 1, 2020",24.8
"December 1, 2020",25.75
"January 1, 2021",24.8
"February 1, 2021",30.25
"March 1, 2021",32.5
"April 1, 2021",30
"May 1, 2021",32
"June 1, 2021",30
"July 1, 2021",29.75
"August 1, 2021",32.75
"September 1, 2021",31.5
"October 1, 2021",32.75
"November 1, 2021",27.25
"December 1, 2021",28.75
"January 1, 2022",30.5
"February 1, 2022",30.75
"March 1, 2022",33.5
"April 1, 2022",35
"May 1, 2022",35
"June 1, 2022",34
"July 1, 2022",33.5
"August 1, 2022",32.75
"September 1, 2022",26.5
"October 1, 2022",28.25
"November 1, 2022",30.75
"December 1, 2022",32.25
"January 1, 2023",33.25
"February 1, 2023",33.5
"March 1, 2023",32.25
"April 1, 2023",31.5
"May 1, 2023",33.75
"June 1, 2023",34.25
"July 1, 2023",33
"August 1, 2023",33.25
"September 1, 2023",31.25
